Year,Region,Average Median Sale Price,Average Median Sale to List Ratio
2008,"Akron, OH",96503.3829787234,
2008,"Albany, NY",168082.41666666666,
2008,"Albuquerque, NM",181596.7052631579,
2008,"Allentown, PA",182260.30208333334,
2008,"Asheville, NC",190133.69791666666,
2008,"Atlanta, GA",145072.27083333334,
2008,"Augusta, GA",112037.09375,
2008,"Austin, TX",185500.34375,
2008,"Bakersfield, CA",177254.20833333334,
2008,"Baltimore, MD",236573.42708333334,
2008,"Barnstable Town, MA",311674.2291666667,
2008,"Baton Rouge, LA",153472.125,
2008,"Bend, OR",,
2008,"Birmingham, AL",132260.47916666666,
2008,"Boise City, ID",181669.11458333334,
2008,"Boston, MA",321071.2083333333,
2008,"Boulder, CO",312392.8645833333,
2008,"Bremerton, WA",,
2008,"Bridgeport, CT",444621.7708333333,
2008,"Buffalo, NY",105424.35416666667,
2008,"Canton, OH",86952.94791666667,
2008,"Cape Coral, FL",157239.07291666666,
2008,"Cedar Rapids, IA",121938.29166666667,
2008,"Charleston, SC",206313.69791666666,
2008,"Charlotte, NC",147537.79166666666,
2008,"Chattanooga, TN",116817.83333333333,
2008,"Chicago, IL",224125.20833333334,
2008,"Cincinnati, OH",126515.09375,
2008,"Clarksville, TN",,
2008,"Cleveland, OH",107533.20833333333,
2008,"Colorado Springs, CO",189613.6875,
2008,"Columbia, MO",,
2008,"Columbia, SC",129081.32291666667,
2008,"Columbus, OH",122766.22916666667,
2008,"Concord, NH",,
2008,"Corpus Christi, TX",131415.875,
2008,"Crestview, FL",220072.79166666666,
2008,"Dallas, TX",144381.61458333334,
2008,"Daphne, AL",,
2008,"Davenport, IA",103856.61458333333,
2008,"Dayton, OH",104057.71875,
2008,"Deltona, FL",156346.79166666666,
2008,"Denver, CO",195669.79166666666,
2008,"Des Moines, IA",139325.52083333334,
2008,"Detroit, MI",97317.15625,
2008,"Duluth, MN",121121.15625,
2008,"Durham, NC",172344.38541666666,
2008,"El Paso, TX",136533.92708333334,
2008,"Eugene, OR",220842.16666666666,
2008,"Fayetteville, AR",132957.42708333334,
2008,"Fayetteville, NC",120098.19791666667,
2008,"Flint, MI",73048.53125,
2008,"Fort Collins, CO",214942.34375,
2008,"Fresno, CA",198378.97916666666,
2008,"Grand Rapids, MI",107888.45833333333,
2008,"Greeley, CO",159563.375,
2008,"Greensboro, NC",122869.10416666667,
2008,"Greenville, SC",125522.24468085106,
2008,"Harrisburg, PA",150537.84375,
2008,"Hartford, CT",229009.23958333334,
2008,"Hickory, NC",108341.79166666667,
2008,"Hilton Head Island, SC",,
2008,"Houston, TX",145837.3125,
2008,"Huntsville, AL",,
2008,"Indianapolis, IN",120323.21875,
2008,"Jacksonville, FL",176446.32291666666,
2008,"Jacksonville, NC",,
2008,"Kansas City, MO",140433.3125,
2008,"Killeen, TX",107886.46875,
2008,"Knoxville, TN",128875.88541666667,
2008,"Lake Havasu City, AZ",,
2008,"Lakeland, FL",140349.125,
2008,"Lancaster, PA",169518.80208333334,
2008,"Lansing, MI",93167.125,
2008,"Las Vegas, NV",215213.48958333334,
2008,"Lexington, KY",138837.29166666666,
2008,"Lincoln, NE",,
2008,"Little Rock, AR",132045.25,
2008,"Los Angeles, CA",426345.75,
2008,"Louisville, KY",125266.4375,
2008,"Lubbock, TX",106101.03125,
2008,"Madison, WI",198584.57291666666,
2008,"Memphis, TN",112353.8125,
2008,"Miami, FL",238653.84375,
2008,"Milwaukee, WI",181470.71875,
2008,"Minneapolis, MN",205165.625,
2008,"Modesto, CA",194503.36458333334,
2008,"Myrtle Beach, SC",177111.46875,
2008,"Naples, FL",,
2008,"Nashville, TN",147966.39583333334,
2008,"New Haven, CT",224115.14583333334,
2008,"New Orleans, LA",,
2008,"New York, NY",393633.90625,
2008,"North Port, FL",195808.97894736842,
2008,"Ogden, UT",186863.3125,
2008,"Oklahoma City, OK",104132.14583333333,
2008,"Omaha, NE",128352.83333333333,
2008,"Orlando, FL",197046.3125,
2008,"Oxnard, CA",426332.09375,
2008,"Palm Bay, FL",146283.4375,
2008,"Panama City, FL",,
2008,"Pensacola, FL",140236.76041666666,
2008,"Peoria, IL",109678.5,
2008,"Philadelphia, PA",206726.54166666666,
2008,"Phoenix, AZ",190720.45833333334,
2008,"Pittsburgh, PA",107016.38541666667,
2008,"Port St. Lucie, FL",151199.61458333334,
2008,"Portland, ME",219559.42708333334,
2008,"Portland, OR",265518.21875,
2008,"Poughkeepsie, NY",,
2008,"Prescott Valley, AZ",227526.75,
2008,"Providence, RI",225965.77083333334,
2008,"Provo, UT",218222.94791666666,
2008,"Punta Gorda, FL",143208.42708333334,
2008,"Raleigh, NC",182632.29166666666,
2008,"Reading, PA",144350.48958333334,
2008,"Reno, NV",269389.3854166667,
2008,"Richmond, VA",200706.14583333334,
2008,"Riverside, CA",243853.69791666666,
2008,"Rochester, MN",,
2008,"Rochester, NY",108168.61458333333,
2008,"Rockford, IL",117993.17391304347,
2008,"Sacramento, CA",244005.70833333334,
2008,"Salisbury, MD",221675.89583333334,
2008,"Salt Lake City, UT",230814.89583333334,
2008,"San Antonio, TX",144636.66666666666,
2008,"San Diego, CA",372231.8125,
2008,"San Francisco, CA",447492.0833333333,
2008,"San Jose, CA",592276.8645833334,
2008,"San Luis Obispo, CA",,
2008,"Santa Maria, CA",360258.48913043475,
2008,"Santa Rosa, CA",383616.1041666667,
2008,"Savannah, GA",158644.26041666666,
2008,"Scranton, PA",101360.10416666667,
2008,"Seattle, WA",331862.3541666667,
2008,"Sebastian, FL",,
2008,"Spokane, WA",168996.46875,
2008,"Springfield, IL",,
2008,"Springfield, MA",181635.20833333334,
2008,"Springfield, MO",117413.375,
2008,"St. Louis, MO",138100.6875,
2008,"Stockton, CA",215190.44791666666,
2008,"Tallahassee, FL",162577.08333333334,
2008,"Tampa, FL",156263.36458333334,
2008,"Toledo, OH",92140.60416666667,
2008,"Trenton, NJ",245296.10416666666,
2008,"Tucson, AZ",195960.90526315788,
2008,"Tulsa, OK",114773.91666666667,
2008,United States,173296.55208333334,
2008,"Urban Honolulu, HI",473004.1052631579,
2008,"Virginia Beach, VA",213598.66666666666,
2008,"Visalia, CA",172980.52083333334,
2008,"Washington, DC",316787.2395833333,
2008,"Wilmington, NC",,
2008,"Winston, NC",124151.13541666667,
2008,"Worcester, MA",210121.45833333334,
2008,"York, PA",153079.9375,
2008,"Youngstown, OH",72049.3125,
2009,"Akron, OH",85042.50961538461,
2009,"Albany, NY",167756.29807692306,
2009,"Albuquerque, NM",175665.03846153847,
2009,"Allentown, PA",171721.15384615384,
2009,"Asheville, NC",179259.98076923078,
