Year,Region,Average Median Sale Price
2024,"Eugene, OR",424420.4145117949
2025,"Eugene, OR",436421.11282702326
2026,"Eugene, OR",424152.124546894
2027,"Eugene, OR",435339.23575696495
2028,"Eugene, OR",451261.5151318496
2029,"Eugene, OR",491013.9576951512
2030,"Eugene, OR",519519.6965146422
2031,"Eugene, OR",541912.8534720088
2032,"Eugene, OR",564411.5158373716
2033,"Eugene, OR",549632.587230804
2034,"Eugene, OR",597943.3436043655
2035,"Eugene, OR",559040.060385886
2024,"Boulder, CO",756629.1893934084
2025,"Boulder, CO",781831.50534609
2026,"Boulder, CO",817972.5722687345
2027,"Boulder, CO",851796.1255478192
2028,"Boulder, CO",844927.503723465
2029,"Boulder, CO",908921.6297613004
2030,"Boulder, CO",898734.0385121547
2031,"Boulder, CO",945867.3897202874
2032,"Boulder, CO",972108.3456905893
2033,"Boulder, CO",966359.2592935674
2034,"Boulder, CO",1055070.9582594833
2035,"Boulder, CO",1045570.7519697942
2024,"Fort Collins, CO",532199.0534902829
2025,"Fort Collins, CO",565892.9269451218
2026,"Fort Collins, CO",590901.8592123849
2027,"Fort Collins, CO",575794.1055422185
2028,"Fort Collins, CO",650687.9196882038
2029,"Fort Collins, CO",616158.5930166742
2030,"Fort Collins, CO",651393.0260791149
2031,"Fort Collins, CO",718822.8503201962
2032,"Fort Collins, CO",686093.4121292124
2033,"Fort Collins, CO",754496.795901234
2034,"Fort Collins, CO",758232.5409533323
2035,"Fort Collins, CO",771781.5054856663
2024,"Cedar Rapids, IA",190181.70888582285
2025,"Cedar Rapids, IA",186125.22914277017
2026,"Cedar Rapids, IA",189949.2411724328
2027,"Cedar Rapids, IA",204410.84209027357
2028,"Cedar Rapids, IA",205803.34414698076
2029,"Cedar Rapids, IA",211193.4613625932
2030,"Cedar Rapids, IA",206438.07057059812
2031,"Cedar Rapids, IA",215345.17565492878
2032,"Cedar Rapids, IA",230037.93910730543
2033,"Cedar Rapids, IA",226000.53191905565
2034,"Cedar Rapids, IA",220578.2322934093
2035,"Cedar Rapids, IA",233892.0559507894
2024,"Madison, WI",348557.66028644925
2025,"Madison, WI",344917.52927158226
2026,"Madison, WI",375836.84053107153
2027,"Madison, WI",377600.7667609711
2028,"Madison, WI",376658.8416517992
2029,"Madison, WI",394730.15617339354
2030,"Madison, WI",409108.9351644378
2031,"Madison, WI",409475.3589629011
2032,"Madison, WI",425270.9934163766
2033,"Madison, WI",464598.1184157165
2034,"Madison, WI",475093.8707496131
2035,"Madison, WI",483508.96960347716
2024,"Asheville, NC",356530.09937592904
2025,"Asheville, NC",362542.6703450119
2026,"Asheville, NC",406160.50696195906
2027,"Asheville, NC",420665.6801491009
2028,"Asheville, NC",434283.3035979539
2029,"Asheville, NC",433280.4261261149
2030,"Asheville, NC",472669.16413544177
2031,"Asheville, NC",485692.354867716
2032,"Asheville, NC",477871.5774450918
2033,"Asheville, NC",490744.21060443437
2034,"Asheville, NC",506397.3923509
2035,"Asheville, NC",513874.0945603153
